lncipediaGeneID,ensemblGeneID
LINC01725,ENSG00000233008.5
lnc-ZFHX3-27,ENSG00000261404.6
CACNA1G-AS1,ENSG00000250107.1
TNFRSF14-AS1,ENSG00000238164.6
SNHG12,ENSG00000197989.13
NNT-AS1,ENSG00000248092.7
PITPNM2-AS1,ENSG00000251497.2
DUBR,ENSG00000243701.5
SNHG1,ENSG00000255717.6
LINC00922,ENSG00000261742.5
lnc-KCNC2-2,ENSG00000251138.6
LINC02372,ENSG00000249873.6
LINC02447,ENSG00000245468.3
LIFR-AS1,ENSG00000244968.6
lnc-PABPC4L-5,ENSG00000250241.5
PRR7-AS1,ENSG00000246334.2
LINC00958,ENSG00000251381.7
FRG1-DT,ENSG00000245685.6
TRHDE-AS1,ENSG00000236333.3
LINC02327,ENSG00000258038.5
lnc-ENPP1-1,ENSG00000236673.5
LINC02413,ENSG00000257345.2
lnc-CRYBA4-52,ENSG00000225783.7
SNHG6,ENSG00000245910.8
PCED1B-AS1,ENSG00000247774.6
lnc-IGHMBP2-1,ENSG00000250508.1
SOCS2-AS1,ENSG00000246985.7
LINC00200,ENSG00000229205.2
lnc-FGF3-2,ENSG00000248844.6
MIR205HG,ENSG00000230937.11
lnc-CHID1-1,ENSG00000250397.2
MALINC1,ENSG00000245146.6
IFNG-AS1,ENSG00000255733.5
HDAC2-AS2,ENSG00000228624.7
STXBP5-AS1,ENSG00000233452.6
lnc-ZNF681-2,ENSG00000269289.5
LINC01124,ENSG00000213981.8
lnc-CPM-2,ENSG00000247363.2
lnc-HMGB2-3,ENSG00000245213.6
lnc-CIT-1,ENSG00000248636.6
DCTN1-AS1,ENSG00000237737.5
ZFHX4-AS1,ENSG00000253661.1
MEF2C-AS1,ENSG00000248309.7
RAB30-AS1,ENSG00000246067.7
LINC00158,ENSG00000185433.8
lnc-WIF1-6,ENSG00000250748.6
lnc-DHX37-9,ENSG00000255944.1
lnc-SPRYD3-1,ENSG00000257337.6
lnc-JAM3-3,ENSG00000204241.7
lnc-HTR4-1,ENSG00000247199.3
lnc-NXPE2-52,ENSG00000256315.1
MIR210HG,ENSG00000247095.2
lnc-NXPH1-2,ENSG00000272328.1
LINC01366,ENSG00000235172.7
SNHG11,ENSG00000174365.19
lnc-ANP32A-3,ENSG00000259426.5
WEE2-AS1,ENSG00000228775.7
ALKBH3-AS1,ENSG00000244926.6
GMDS-DT,ENSG00000250903.8
SOX2-OT,ENSG00000242808.8
PTPRG-AS1,ENSG00000241472.6
LINC00668,ENSG00000265933.5
TRAF3IP2-AS1,ENSG00000231889.7
LINC01266,ENSG00000224957.5
TLX1NB,ENSG00000236311.6
lnc-PRKD1-3,ENSG00000257522.5
lnc-VSX1-1,ENSG00000230725.5
lnc-SOX5-1,ENSG00000115934.11
MIR924HG,ENSG00000267374.1
lnc-DCTD-65,ENSG00000177822.7
lnc-LARP1B-1,ENSG00000251432.6
HAGLR,ENSG00000224189.7
lnc-LRRC72-3,ENSG00000237070.1
ATP2C2-AS1,ENSG00000261286.1
STX18-AS1,ENSG00000247708.7
LINC01102,ENSG00000235597.1
lnc-SDSL-13,ENSG00000258254.1
LINC01693,ENSG00000227764.1
PPFIA2-AS1,ENSG00000257467.5
lnc-SDCBP-2,ENSG00000167912.5
EPHA5-AS1,ENSG00000250846.6
ZBED5-AS1,ENSG00000247271.6
lnc-ROBO3-2,ENSG00000245498.6
RASSF8-AS1,ENSG00000246695.7
LINC01776,ENSG00000226053.1
LINC00939,ENSG00000249267.6
SNCA-AS1,ENSG00000247775.2
LINC-PINT,ENSG00000226380.9
lnc-BRSK1-1,ENSG00000267649.1
lnc-GPR183-47,ENSG00000280734.2
lnc-SLC30A7-2,ENSG00000233184.6
lnc-FGFR2-12,ENSG00000227165.7
lnc-KLF4-14,ENSG00000230782.1
lnc-TRMT61B-5,ENSG00000229951.5
LINC00599,ENSG00000253230.8
ZMIZ1-AS1,ENSG00000224596.7
LINC01992,ENSG00000260019.1
lnc-CRYBA4-52,ENSG00000244625.5
PAXBP1-AS1,ENSG00000238197.5
lnc-ZNF682-1,ENSG00000267383.6
LINC01788,ENSG00000229051.1
lnc-NBN-1,ENSG00000251136.8
lnc-NECAB1-1,ENSG00000246792.2
LINC02052,ENSG00000224406.5
lnc-MKLN1-2,ENSG00000224865.7
GAS5,ENSG00000234741.7
LINC01405,ENSG00000185847.7
TRAM2-AS1,ENSG00000225791.6
CPEB2-DT,ENSG00000247624.6
FMR1-AS1,ENSG00000268066.5
LINC00609,ENSG00000257585.1
LINC02288,ENSG00000246548.3
LINC00612,ENSG00000214851.4
SLC2A1-AS1,ENSG00000227533.5
KCTD21-AS1,ENSG00000246174.7
LINC02298,ENSG00000257556.1
LINC02369,ENSG00000256551.1
LINC01359,ENSG00000226891.7
LINC00574,ENSG00000231690.2
lnc-EMP1-1,ENSG00000256306.1
lnc-CYB5R2-3,ENSG00000251364.6
lnc-CIB3-1,ENSG00000269243.1
lnc-SOD3-6,ENSG00000248837.5
LINC02468,ENSG00000256499.1
lnc-TMEM132B-4,ENSG00000284848.1
LINC01234,ENSG00000249550.6
lnc-GPR39-4,ENSG00000226953.7
SDCBP2-AS1,ENSG00000234684.6
LINC02397,ENSG00000266923.1
DACT3-AS1,ENSG00000245598.6
XIST,ENSG00000229807.10
lnc-TBC1D22A-4,ENSG00000224271.5
lnc-SLC39A10-3,ENSG00000272211.1
lnc-DHX37-9,ENSG00000256732.1
MCM8-AS1,ENSG00000278719.1
LINC00461,ENSG00000245526.10
OSTM1-AS1,ENSG00000225174.1
lnc-FOXG1-22,ENSG00000258081.3
LINC00476,ENSG00000175611.11
lnc-COL2A1-2,ENSG00000258203.5
RPL34-AS1,ENSG00000234492.4
CASC2,ENSG00000177640.15
NOP14-AS1,ENSG00000249673.6
FAM222A-AS1,ENSG00000255650.5
RAPGEF4-AS1,ENSG00000228016.1
LINC00698,ENSG00000244342.5
LINC00900,ENSG00000246100.3
MIR4300HG,ENSG00000245832.6
LINC02446,ENSG00000256039.1
LINC00261,ENSG00000259974.2
LINC02532,ENSG00000235142.7
LRRC75A-AS1,ENSG00000175061.17
LINC02475,ENSG00000251350.1
LINC02327,ENSG00000258028.1
LINC02125,ENSG00000250514.1
lnc-ZNF574-1,ENSG00000259436.1
NTRK3-AS1,ENSG00000260305.1
lnc-GRM7-2,ENSG00000189229.10
CASC18,ENSG00000257859.1
HOXA-AS2,ENSG00000253552.7
lnc-EXOSC6-2,ENSG00000247228.2
PSMG3-AS1,ENSG00000230487.7
lnc-ALX4-5,ENSG00000246250.2
LINC01351,ENSG00000241505.1
lnc-ZNF644-1,ENSG00000233593.8
LINC00847,ENSG00000245060.6
LINC02268,ENSG00000248174.5
lnc-ACTR2-3,ENSG00000204929.12
MIR646HG,ENSG00000228340.5
lnc-C8orf74-1,ENSG00000248896.2
LINC02579,ENSG00000233694.5
lnc-NAT2-1,ENSG00000187229.3
FAM111A-DT,ENSG00000245571.6
LINC01415,ENSG00000267325.1
LINC01159,ENSG00000229743.2
lnc-FAM78A-1,ENSG00000246851.1
MYCNOS,ENSG00000233718.7
lnc-FAM20C-3,ENSG00000240859.1
PCF11-AS1,ENSG00000247137.8
LINC01305,ENSG00000231453.1
LINC00857,ENSG00000237523.1
LINC00877,ENSG00000241163.7
TP53TG1,ENSG00000182165.17
lnc-KLF17-1,ENSG00000230615.6
lnc-ATP6AP2-4,ENSG00000223486.1
FZD10-DT,ENSG00000250208.6
SNHG5,ENSG00000203875.10
lnc-COA6-6,ENSG00000228044.2
lnc-NKX2-6-1,ENSG00000254002.1
lnc-GADD45A-9,ENSG00000232284.7
lnc-TFAP2A-4,ENSG00000237685.1
LINC00944,ENSG00000256128.5
lnc-SCRN3-3,ENSG00000236449.1
LINC00964,ENSG00000249816.6
SAP30L-AS1,ENSG00000245275.7
lnc-SULF1-3,ENSG00000246528.3
lnc-SCAND1-3,ENSG00000232406.6
lnc-HPGDS-1,ENSG00000246541.2
LINC01194,ENSG00000248131.5
lnc-USP34-1,ENSG00000212978.6
lnc-IL6-3,ENSG00000232759.1
SCAMP1-AS1,ENSG00000245556.2
BAALC-AS1,ENSG00000247081.7
LINC00954,ENSG00000228784.7
LINC01498,ENSG00000247213.6
lnc-HPCAL1-1,ENSG00000257135.5
LINC00472,ENSG00000233237.6
MIR503HG,ENSG00000223749.9
LINC00615,ENSG00000196243.5
NEAT1,ENSG00000245532.8
LINC01060,ENSG00000249378.5
lnc-DSCC1-1,ENSG00000245330.4
lnc-F2RL2-2,ENSG00000225407.3
lnc-ZBED5-1,ENSG00000250041.2
lnc-CPVL-4,ENSG00000223813.2
SOX5-AS1,ENSG00000256120.1
CARMN,ENSG00000249669.9
LINC01970,ENSG00000265692.1
LINC00663,ENSG00000266904.5
lnc-KLRC4-KLRK1-2,ENSG00000256288.1
LINC00682,ENSG00000245870.3
LINC02347,ENSG00000214043.7
lnc-APAF1-1,ENSG00000257458.1
RMST,ENSG00000255794.7
LINC01018,ENSG00000250056.5
RAD51-AS1,ENSG00000245849.6
LINC02470,ENSG00000225231.1
lnc-DDX51-6,ENSG00000255933.1
APCDD1L-DT,ENSG00000231290.5
LINC02202,ENSG00000245812.2
SNHG17,ENSG00000196756.11
KCNMB2-AS1,ENSG00000237978.5
SPATA3-AS1,ENSG00000238062.5
FGF13-AS1,ENSG00000226031.5
SEC24B-AS1,ENSG00000247950.6
lnc-SLC26A8-1,ENSG00000246982.6
C9orf135-DT,ENSG00000225626.2
lnc-SPO11-1,ENSG00000226308.1
lnc-SHANK2-1,ENSG00000246889.2
LINC00518,ENSG00000183674.11
GATA3-AS1,ENSG00000197308.9
lnc-RIMBP2-6,ENSG00000256137.1
lnc-NRGN-1,ENSG00000250073.2
LINC02067,ENSG00000240567.1
FTX,ENSG00000230590.9
lnc-ANXA2R-1,ENSG00000177738.3
lnc-BEST3-1,ENSG00000247131.5
PART1,ENSG00000152931.7
lnc-BLID-3,ENSG00000246790.2
lnc-FAM84B-15,ENSG00000246228.6
LINC01684,ENSG00000237484.5
LINC02402,ENSG00000257510.1
UBA6-AS1,ENSG00000248049.6
